"layer","value","count","prop","scenario","years","distance"
1,-100,90,0.000611018703961438,"SSP2-4.5","2011-2040",">2070"
1,100,1673,0.0113581587969721,"SSP2-4.5","2011-2040","90"
1,200,12634,0.0857734478427645,"SSP2-4.5","2011-2040","180"
1,300,32723,0.222159611663668,"SSP2-4.5","2011-2040","270"
1,400,23377,0.158708713805628,"SSP2-4.5","2011-2040","540"
1,500,33659,0.228514206184867,"SSP2-4.5","2011-2040","1080"
1,600,43139,0.292874843002139,"SSP2-4.5","2011-2040","2070"
2,-100,1085,0.00183029998363695,"SSP2-4.5","2041-2070",">2070"
2,100,13450,0.0226889721473889,"SSP2-4.5","2041-2070","90"
2,200,65117,0.109846676529481,"SSP2-4.5","2041-2070","180"
2,300,134094,0.226204835028399,"SSP2-4.5","2041-2070","270"
2,400,89595,0.151138918925302,"SSP2-4.5","2041-2070","540"
2,500,125950,0.212466620220344,"SSP2-4.5","2041-2070","1080"
2,600,163508,0.275823677165447,"SSP2-4.5","2041-2070","2070"
3,-100,2171,0.0024693717149451,"SSP2-4.5","2071-2100",">2070"
3,100,23869,0.0271494396425724,"SSP2-4.5","2071-2100","90"
3,200,107317,0.122066128204866,"SSP2-4.5","2071-2100","180"
3,300,206076,0.2343980863791,"SSP2-4.5","2071-2100","270"
3,400,131737,0.149842294616178,"SSP2-4.5","2071-2100","540"
3,500,180301,0.205080695336857,"SSP2-4.5","2071-2100","1080"
3,600,227700,0.258993984105481,"SSP2-4.5","2071-2100","2070"
1,-100,200,0.000954653937947494,"SSP5-8.5","2011-2040",">2070"
1,100,2966,0.0141575178997613,"SSP5-8.5","2011-2040","90"
1,200,19563,0.0933794749403341,"SSP5-8.5","2011-2040","180"
1,300,46418,0.221565632458234,"SSP5-8.5","2011-2040","270"
1,400,32656,0.155875894988067,"SSP5-8.5","2011-2040","540"
1,500,46904,0.223885441527446,"SSP5-8.5","2011-2040","1080"
1,600,60793,0.29018138424821,"SSP5-8.5","2011-2040","2070"
2,-100,2445,0.00278470949614412,"SSP5-8.5","2041-2070",">2070"
2,100,25217,0.0287206623166733,"SSP5-8.5","2041-2070","90"
2,200,108726,0.123832443630988,"SSP5-8.5","2041-2070","180"
2,300,206507,0.235199183607457,"SSP5-8.5","2041-2070","270"
2,400,131127,0.149345849530016,"SSP5-8.5","2041-2070","540"
2,500,178844,0.203692672854151,"SSP5-8.5","2041-2070","1080"
2,600,225143,0.25642447856457,"SSP5-8.5","2041-2070","2070"
3,-100,5820,0.00402080038798651,"SSP5-8.5","2071-2100",">2070"
3,100,53310,0.0368297025229486,"SSP5-8.5","2071-2100","90"
3,200,225553,0.155825359091327,"SSP5-8.5","2071-2100","180"
3,300,364585,0.251876891658774,"SSP5-8.5","2071-2100","270"
3,400,209793,0.144937418521796,"SSP5-8.5","2071-2100","540"
3,500,269950,0.186497433803601,"SSP5-8.5","2071-2100","1080"
3,600,318462,0.220012394013567,"SSP5-8.5","2071-2100","2070"
